dt,pref,city,NPS,cnt,NPS0,NPS1,NPS2,NPS3,NPS4,NPS5,NPS6,NPS7,NPS8,NPS9,NPS10
2025-10,福井県,若狭町,24.6,65,0%,0%,0%,0%,0%,3%,12%,11%,34%,11%,29%
2025-10,福井県,勝山市,22.4,335,0%,0%,2%,2%,1%,8%,7%,13%,23%,14%,30%
2025-10,福井県,あわら市,21.3,122,0%,1%,2%,2%,1%,12%,2%,11%,27%,12%,30%
2025-10,福井県,越前市,21.0,81,0%,1%,1%,1%,1%,7%,10%,14%,21%,15%,28%
2025-10,福井県,永平寺町,18.9,132,0%,0%,2%,1%,3%,7%,8%,13%,27%,13%,27%
2025-10,福井県,福井市,18.5,157,0%,1%,1%,3%,1%,7%,8%,18%,22%,16%,23%
2025-10,福井県,小浜市,15.3,72,0%,0%,1%,1%,0%,4%,11%,15%,33%,10%,24%
2025-10,富山県,黒部市,14.3,7,0%,0%,0%,14%,0%,0%,0%,0%,57%,0%,29%
2025-10,石川県,小松市,13.2,227,2%,0%,0%,1%,3%,10%,6%,10%,31%,10%,26%
2025-10,福井県,敦賀市,11.7,94,1%,0%,0%,2%,1%,6%,10%,20%,28%,11%,21%
2025-10,福井県,越前町,10.3,68,0%,0%,1%,1%,3%,7%,7%,15%,34%,7%,24%
2025-10,石川県,能美市,10.3,29,0%,0%,3%,3%,3%,10%,3%,0%,41%,10%,24%
2025-10,福井県,南越前町,9.7,62,0%,0%,2%,2%,0%,10%,10%,18%,27%,13%,19%
2025-10,福井県,おおい町,8.3,36,0%,0%,3%,0%,0%,19%,3%,14%,28%,14%,19%
2025-10,福井県,美浜町,5.8,52,0%,0%,2%,0%,4%,8%,8%,23%,29%,12%,15%
2025-10,福井県,池田町,1.3,76,3%,0%,0%,0%,1%,17%,4%,9%,39%,9%,17%
2025-10,福井県,大野市,1.0,296,0%,1%,0%,2%,3%,15%,9%,14%,25%,10%,21%
2025-10,石川県,輪島市,0.0,3,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,33%
2025-10,富山県,滑川市,0.0,1,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2025-10,石川県,宝達志水町,0.0,1,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2025-10,福井県,坂井市,-7.0,71,0%,1%,1%,1%,3%,13%,14%,13%,27%,10%,17%
2025-10,富山県,氷見市,-8.3,60,0%,0%,8%,5%,0%,17%,3%,15%,27%,5%,20%
2025-10,福井県,鯖江市,-11.1,18,0%,0%,6%,0%,6%,22%,0%,17%,28%,6%,17%
2025-10,福井県,高浜町,-19.0,21,0%,0%,5%,5%,5%,24%,0%,24%,19%,10%,10%
2025-10,富山県,朝日町,-20.0,5,0%,0%,20%,0%,0%,0%,20%,20%,20%,0%,20%
