type,count
遠征,1
夫婦、親、兄弟,1
妹家族、私の家族、親,1
義両親と妻子,1
子供と両親,1
先生,1
夫婦2人と犬,1
兄弟夫婦,1
地元勝山,1
父と姉,1
家族6人,1
二世帯家族,1
孫家族と,1
ソフトバレーボールの仲間,1
幼児連れの家族と兄弟と親の三世代での旅行,1
夫婦2人と母親の3人,1
夫婦プラス長男,1
車のツーリングクラブ,1
会社関係者,1
職場の関係で総会参加,1
娘とその夫,1
親族一同,1
孫の家族との二家族,1
夫婦２人も妻の両親の４人,1
犬,1
弟妹,1
妻とその母,1
幼児のいる2家族,1
夫婦　親,1
接待,1
職場の仲間,1
観光協会視察,1
家族５人,1
親子3世代　9人で,1
家族4人　選択肢がおかしい,1
親同伴夫婦,1
成人した娘と,1
夫、夫の両親,1
見学します,1
高校生の孫,1
消防団,1
両親　成人した子供,1
家族❨大学生と社会人❩,1
災害支援チーム　JRAT,1
親子3人,1
夫婦、成人している子供2人,1
夫婦、大学生の子供,1
夫婦と成人娘の3人で,1
大学生以下連れの家族,1
夫婦と大人娘２名の家族旅行,1
成人の子供と,1
高校生,1
夫婦と親戚,1
夫婦と友人夫婦６人,1
次女と,1
両親とパートナー,1
高校生の娘,1
両親と小学生以下の子どもと,1
両親と兄,1
成人した子どもと,1
大学生の子ども,1
高校生以上連れの家族,1
夫婦、娘夫婦、孫２人,1
夫と子(成年),1
夫婦と高校生の子どもと,1
母親、妹,1
高校生の子供と,1
高校生以上の子供、夫、両親,1
家族４人(大人),1
夫と義母,1
配偶者と私の実母と妹,1
22歳の娘,1
妹2人,1
他の職場の方,1
震災支援ボランティア,1
団体の仲間,1
チーム,1
仕事関係の友人,1
家族4人　夫婦　大学生　高校生,1
大学生・高校生計4人,1
取引先,1
病院からの災害派遣(DMAT),1
娘、母,1
大学生のの子連れ家族,1
夫婦と大人の子ども,1
ボランティア団,1
家族と奥さんの親2人,1
職場上司,1
高校生の子ども,1
高校生の息子と,1
夫婦と高校生,1
母親、姉、弟,1
社員研修旅行,1
3姉妹とその息子さん,1
夫と母親と義理の姉,1
福井での1泊は一人旅で金沢2泊は友達と一緒に,1
叔母,1
母親と娘,1
大学生、高校生連れの家族,1
家族（高校生）,1
両親と夫,1
妻と子供の3人,1
大学生子供と主人,1
二男,1
ゴルフ仲間,1
夫婦2、社会人娘の3人で,1
高校生の子供と2人,1
夫婦＋大学生の子ども２人,1
子供（成人）,1
高校生の息子とふたりで。,1
妻と成人の娘2人,1
京都府,1
一番大切な人,1
家族　高校生、中学生,1
高校生の子連れ家族,1
高校生の子供と主人,1
高校の家族,1
夫婦　親　子供,1
夫婦２人と高校生1人,1
1７歳、20歳の娘と,1
ネットのアンケート,1
家族４人　❨母　夫　子ども❩,1
中高生子ども２人,1
娘　高校生,1
　孫に娘,1
夫婦と高校生の子ども1人,1
中高生連れの家族,1
家族、大学生,1
大学生の娘,1
高校生連れ家族,1
高校生以下の家族,1
中学生以上の家族旅行,1
祖母,1
成人2人の娘➕夫婦の、計4人,1
社会人の子供,1
大学生2人の娘と夫婦,1
家族 ,1
石川県に住んでいる。,1
夫と成人した子供,1
家族3人で,1
母,1
途中まで仕事で同僚と、途中から遊びで友人と合流,1
高校生子供　夫婦,1
ツアーガイドとしてオーストラリア人16にんと,1
ホームステイに来た留学生,1
最近知り合った神社巡り好きの異性,1
20歳以上の家族,1
夫、子ども,1
25歳の子供と,1
妻と長女大人,1
大学生の子供と夫婦,1
夫と友達1人,1
夫婦と19歳、26歳,1
大学生の娘と２人,1
合唱団,1
県からの派遣,1
バレーの大会,1
親・兄弟・子ども,1
長男,1
夫と両親と妹の5人,1
大学生娘,1
家族成人,1
組合仲間,1
20歳以上の6人家族,1
家族四人(大学生の子供),1
実兄,1
親子　成人した子供,1
夫婦、娘2人、母の家族旅行,1
家族みんな,1
夫婦と成人の子一人,1
親、夫婦、兄弟夫婦,1
夫婦2人と友人夫婦2人,1
母と祖母,1
